=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[201.98] MASTER | DISTRIB | INFO | KV[0181] -> 워커2 배정, 대기열=6/10, 일반
[202.98] MASTER | DISTRIB | INFO | KV[0182] -> 워커2 배정, 대기열=7/10, 일반
[203.98] MASTER | DISTRIB | INFO | KV[0183] -> 워커2 배정, 대기열=8/10, 일반
[204.98] MASTER | DISTRIB | INFO | KV[0184] -> 워커2 배정, 대기열=9/10, 일반
[205.98] MASTER | DISTRIB | INFO | KV[0185] -> 워커2 배정, 대기열=10/10, 일반
[208.20] MASTER | RESULT | SUCCESS | KV[0019] 워커2 저장 완료, 값=44, 처리=1.22초
[209.20] MASTER | DISTRIB | INFO | KV[0186] -> 워커2 배정, 대기열=1/10, 일반
[210.20] MASTER | DISTRIB | INFO | KV[0187] -> 워커2 배정, 대기열=2/10, 일반
[211.20] MASTER | DISTRIB | INFO | KV[0188] -> 워커2 배정, 대기열=3/10, 일반
[212.20] MASTER | DISTRIB | INFO | KV[0189] -> 워커2 배정, 대기열=4/10, 일반
[213.20] MASTER | DISTRIB | INFO | KV[0190] -> 워커2 배정, 대기열=5/10, 일반
[214.20] MASTER | DISTRIB | INFO | KV[0191] -> 워커2 배정, 대기열=6/10, 일반
[215.20] MASTER | DISTRIB | INFO | KV[0192] -> 워커2 배정, 대기열=7/10, 일반
[216.20] MASTER | DISTRIB | INFO | KV[0193] -> 워커2 배정, 대기열=8/10, 일반
[217.20] MASTER | DISTRIB | INFO | KV[0194] -> 워커2 배정, 대기열=9/10, 일반
[218.20] MASTER | DISTRIB | INFO | KV[0195] -> 워커2 배정, 대기열=10/10, 일반
[219.20] MASTER | DISTRIB | INFO | KV[0196] -> 워커2 배정, 대기열=1/10, 일반
[220.20] MASTER | DISTRIB | INFO | KV[0197] -> 워커2 배정, 대기열=2/10, 일반
[221.20] MASTER | DISTRIB | INFO | KV[0198] -> 워커2 배정, 대기열=3/10, 일반
[222.20] MASTER | DISTRIB | INFO | KV[0199] -> 워커2 배정, 대기열=4/10, 일반
[223.20] MASTER | DISTRIB | INFO | KV[0200] -> 워커2 배정, 대기열=5/10, 일반
[224.20] MASTER | DISTRIB | INFO | KV[0201] -> 워커2 배정, 대기열=6/10, 일반
[225.20] MASTER | DISTRIB | INFO | KV[0202] -> 워커2 배정, 대기열=7/10, 일반
[226.20] MASTER | DISTRIB | INFO | KV[0203] -> 워커2 배정, 대기열=8/10, 일반
[227.20] MASTER | DISTRIB | INFO | KV[0204] -> 워커2 배정, 대기열=9/10, 일반
[228.20] MASTER | DISTRIB | INFO | KV[0205] -> 워커2 배정, 대기열=10/10, 일반
[229.20] MASTER | DISTRIB | INFO | KV[0206] -> 워커4 배정, 대기열=1/10, 일반
[230.20] MASTER | DISTRIB | INFO | KV[0207] -> 워커4 배정, 대기열=2/10, 일반
[231.20] MASTER | DISTRIB | INFO | KV[0208] -> 워커4 배정, 대기열=3/10, 일반
[232.20] MASTER | DISTRIB | INFO | KV[0209] -> 워커4 배정, 대기열=4/10, 일반
[233.20] MASTER | DISTRIB | INFO | KV[0210] -> 워커4 배정, 대기열=5/10, 일반
[234.20] MASTER | DISTRIB | INFO | KV[0211] -> 워커4 배정, 대기열=6/10, 일반
[235.20] MASTER | DISTRIB | INFO | KV[0212] -> 워커4 배정, 대기열=7/10, 일반
[236.20] MASTER | DISTRIB | INFO | KV[0213] -> 워커4 배정, 대기열=8/10, 일반
[237.20] MASTER | DISTRIB | INFO | KV[0214] -> 워커4 배정, 대기열=9/10, 일반
[238.20] MASTER | DISTRIB | INFO | KV[0215] -> 워커4 배정, 대기열=10/10, 일반
[239.20] MASTER | DISTRIB | INFO | KV[0216] -> 워커2 배정, 대기열=2/10, 일반
[240.20] MASTER | DISTRIB | INFO | KV[0217] -> 워커2 배정, 대기열=3/10, 일반
[241.20] MASTER | DISTRIB | INFO | KV[0218] -> 워커2 배정, 대기열=4/10, 일반
[242.20] MASTER | DISTRIB | INFO | KV[0219] -> 워커2 배정, 대기열=5/10, 일반
[243.20] MASTER | DISTRIB | INFO | KV[0220] -> 워커2 배정, 대기열=6/10, 일반
[244.20] MASTER | DISTRIB | INFO | KV[0221] -> 워커2 배정, 대기열=7/10, 일반
[245.20] MASTER | DISTRIB | INFO | KV[0222] -> 워커2 배정, 대기열=8/10, 일반
[246.20] MASTER | DISTRIB | INFO | KV[0223] -> 워커2 배정, 대기열=9/10, 일반
[247.20] MASTER | DISTRIB | INFO | KV[0224] -> 워커2 배정, 대기열=10/10, 일반
[250.77] MASTER | RESULT | SUCCESS | KV[0022] 워커2 저장 완료, 값=11, 처리=2.57초
[251.77] MASTER | DISTRIB | INFO | KV[0225] -> 워커2 배정, 대기열=1/10, 일반
[252.77] MASTER | DISTRIB | INFO | KV[0226] -> 워커2 배정, 대기열=2/10, 일반
[253.77] MASTER | DISTRIB | INFO | KV[0227] -> 워커2 배정, 대기열=3/10, 일반
[254.77] MASTER | DISTRIB | INFO | KV[0228] -> 워커2 배정, 대기열=4/10, 일반
[255.77] MASTER | DISTRIB | INFO | KV[0229] -> 워커2 배정, 대기열=5/10, 일반
[256.77] MASTER | DISTRIB | INFO | KV[0230] -> 워커2 배정, 대기열=6/10, 일반
[257.77] MASTER | DISTRIB | INFO | KV[0231] -> 워커2 배정, 대기열=7/10, 일반
[258.77] MASTER | DISTRIB | INFO | KV[0232] -> 워커2 배정, 대기열=8/10, 일반
[259.77] MASTER | DISTRIB | INFO | KV[0233] -> 워커2 배정, 대기열=9/10, 일반
[260.77] MASTER | DISTRIB | INFO | KV[0234] -> 워커2 배정, 대기열=10/10, 일반
[261.77] MASTER | DISTRIB | INFO | KV[0235] -> 워커3 배정, 대기열=1/10, 일반
[262.77] MASTER | DISTRIB | INFO | KV[0236] -> 워커3 배정, 대기열=2/10, 일반
[263.77] MASTER | DISTRIB | INFO | KV[0237] -> 워커3 배정, 대기열=3/10, 일반
[264.77] MASTER | DISTRIB | INFO | KV[0238] -> 워커3 배정, 대기열=4/10, 일반
[265.77] MASTER | DISTRIB | INFO | KV[0239] -> 워커3 배정, 대기열=5/10, 일반
[266.77] MASTER | DISTRIB | INFO | KV[0240] -> 워커3 배정, 대기열=6/10, 일반
[267.77] MASTER | DISTRIB | INFO | KV[0241] -> 워커3 배정, 대기열=7/10, 일반
[268.77] MASTER | DISTRIB | INFO | KV[0242] -> 워커3 배정, 대기열=8/10, 일반
[269.77] MASTER | DISTRIB | INFO | KV[0243] -> 워커3 배정, 대기열=9/10, 일반
[270.77] MASTER | DISTRIB | INFO | KV[0244] -> 워커3 배정, 대기열=10/10, 일반
[271.77] MASTER | DISTRIB | INFO | KV[0245] -> 워커1 배정, 대기열=1/10, 일반
[272.77] MASTER | DISTRIB | INFO | KV[0246] -> 워커1 배정, 대기열=2/10, 일반
[273.77] MASTER | DISTRIB | INFO | KV[0247] -> 워커1 배정, 대기열=3/10, 일반
[274.77] MASTER | DISTRIB | INFO | KV[0248] -> 워커1 배정, 대기열=4/10, 일반
[275.77] MASTER | DISTRIB | INFO | KV[0249] -> 워커1 배정, 대기열=5/10, 일반
[276.77] MASTER | DISTRIB | INFO | KV[0250] -> 워커1 배정, 대기열=6/10, 일반
[277.77] MASTER | DISTRIB | INFO | KV[0251] -> 워커1 배정, 대기열=7/10, 일반
[278.77] MASTER | DISTRIB | INFO | KV[0252] -> 워커1 배정, 대기열=8/10, 일반
[279.77] MASTER | DISTRIB | INFO | KV[0253] -> 워커1 배정, 대기열=9/10, 일반
[280.77] MASTER | DISTRIB | INFO | KV[0254] -> 워커1 배정, 대기열=10/10, 일반
[281.77] MASTER | DISTRIB | INFO | KV[0255] -> 워커3 배정, 대기열=2/10, 일반
[282.77] MASTER | DISTRIB | INFO | KV[0256] -> 워커3 배정, 대기열=3/10, 일반
[283.77] MASTER | DISTRIB | INFO | KV[0257] -> 워커3 배정, 대기열=4/10, 일반
[284.77] MASTER | DISTRIB | INFO | KV[0258] -> 워커3 배정, 대기열=5/10, 일반
